Name,Signature,Match
getOne,getOne(),y
getParameters,getParameters(),y
getQuery,getQuery(),y
getQueryAndParameters,getQueryAndParameters(),y
getRawMany,getRawMany(),y
getRawOne,getRawOne(),y
getRepository,getRepository(),y
getRepository,"function getRepository(entityClass, )",y
getSchemas,getSchemas(),n
getSql,getSql(),y
getTables,getTables(),n
getTreeRepository,"function getTreeRepository(entityClass, )",y
getTreeRepository,getTreeRepository(),n
group,group(),n
hasDatabase,hasDatabase(),n
hasId,hasId(),n
hasMetadata,hasMetadata(),n
hasTable,hasTable(),n
increment,increment(),n
initialize,initialize(),y
initializeOrderedBulkOp,initializeOrderedBulkOp(),n
initializeUnorderedBulkOp,initializeUnorderedBulkOp(),n
innerJoin,innerJoin(),n
innerJoinAndSelect,innerJoinAndSelect(),n
insert,insert(),y
insertMany,insertMany(),y
insertOne,insertOne(),n
into,into(),n
isCapped,isCapped(),n
leftJoin,leftJoin(),n
leftJoinAndSelect,leftJoinAndSelect(),n
limit,limit(),n
listCollectionIndexes,listCollectionIndexes(),n
listenTo,listenTo(),y
loadMany,loadMany(),y
logQuery,logQuery(),n
maximum,maximum(),n
merge,merge(),n
minimum,minimum(),n
offset,offset(),n
orUpdate,orUpdate(),n
orWhere,orWhere(),n
orderBy,orderBy(),n
preload,preload(),n
prepareLogMessages,prepareLogMessages(),n
query,query(),y
recover,recover(),n
release,release(),y
remove,remove(),y
rename,rename(),n
renameColumn,renameColumn(),n
replaceOne,replaceOne(),n
restore,restore(),y
returning,returning(),n
rollbackTransaction,rollbackTransaction(),y
runMigrations,runMigrations(),y
save,save(),y
select,select(),y
setLock,setLock(),n
setOnLocked,setOnLocked(),n
setParameter,setParameter(),n
setParameters,setParameters(),n
skip,skip(),n
softDelete,softDelete(),y
softRemove,softRemove(),n
startTransaction,startTransaction(),y
stats,stats(),n
stream,stream(),y
subQuery,subQuery(),y
sum,sum(),n
synchronize,synchronize(),y
timeTravelQuery,timeTravelQuery(),y
transaction,transaction(),n
undoLastMigration,undoLastMigration(),y
up,up(),n
update,update(),n
updateMany,updateMany(),n
updateOne,updateOne(),n
updatePrimaryKeys,updatePrimaryKeys(),n
upsert,upsert(),n
where,where(),n
withDeleted,withDeleted(),y
writeLog,writeLog(),n
